Rating,Review,Class,Tokens
3,i love more the older version this is to tick,0,"['love', 'older', 'version', 'tick']"
5,I loved it and it was worth the money and I would refer to a friend I had ordered a purple one that I wanted more than the black one but didnt get it The black one is OK,1,"['I', 'loved', 'worth', 'money', 'I', 'would', 'refer', 'friend', 'I', 'ordered', 'purple', 'one', 'I', 'wanted', 'black', 'one', 'didnt', 'get', 'The', 'black', 'one', 'OK']"
2,Will never dry enough to stay put on anything but copy paper Will not stay on mailing labels no matter how long you let it dry Smears and lets your personal information show Defeated by tissue paper,0,"['Will', 'never', 'dry', 'enough', 'stay', 'put', 'anything', 'copy', 'paper', 'Will', 'stay', 'mailing', 'labels', 'matter', 'long', 'let', 'dry', 'Smears', 'lets', 'personal', 'information', 'show', 'Defeated', 'tissue', 'paper']"
5,Ive been a Derwent fan for many years but I was still surprised by how much I enjoy working with these pencilsThey are very different from the Inktense line from Derwent which are fantastic as well These pencils are a bit grittier They seem to grab the paper a bit better than the Inktense The only downside is the color selection is far fewer than the Inktense so Ill be using them in conjunction with one another,1,"['Ive', 'Derwent', 'fan', 'many', 'years', 'I', 'still', 'surprised', 'much', 'I', 'enjoy', 'working', 'pencilsThey', 'different', 'Inktense', 'line', 'Derwent', 'fantastic', 'well', 'These', 'pencils', 'bit', 'grittier', 'They', 'seem', 'grab', 'paper', 'bit', 'better', 'Inktense', 'The', 'downside', 'color', 'selection', 'far', 'fewer', 'Inktense', 'Ill', 'using', 'conjunction', 'one', 'another']"
1,I bought these and plugged them in to charge for hours untouched I have had them for months and have to replace them they will be hung up all night and not recharge Also no plug in options for hands free talking Junk phones Do not recommend,0,"['I', 'bought', 'plugged', 'charge', 'hours', 'untouched', 'I', 'months', 'replace', 'hung', 'night', 'recharge', 'Also', 'plug', 'options', 'hands', 'free', 'talking', 'Junk', 'phones', 'Do', 'recommend']"
2,This printer was purchased for my home less than a year ago and I need to replace the ink cartridges for the rd time I am the only one in my home and I rarely use the printer I use it so rarely that the tips of the cartridges dried out and the printer wouldnt operate I had to clean cartridge heads as shown on YouTube I realize the original ink cartridges that came with the printer were sample size so didnt contain as much ink as a regular cartridge However I ordered replacements directly from Epson and they quickly ran out again example for XL black cartridge I think the ink must evaporate no other way to explain it unless the cartridges dont hold much ink If any one cartridge runs dry the printer wont operate The cartridges are very expensive and I have now spent as much on the ink cartridges as I paid for the printer It is just another scam like razor blades Once you purchase their product they make sure you can only use their refills and than charge an inflated price Thats where they make their money,0,"['This', 'printer', 'purchased', 'home', 'less', 'year', 'ago', 'I', 'need', 'replace', 'ink', 'cartridges', 'rd', 'time', 'I', 'one', 'home', 'I', 'rarely', 'use', 'printer', 'I', 'use', 'rarely', 'tips', 'cartridges', 'dried', 'printer', 'wouldnt', 'operate', 'I', 'clean', 'cartridge', 'heads', 'shown', 'YouTube', 'I', 'realize', 'original', 'ink', 'cartridges', 'came', 'printer', 'sample', 'size', 'didnt', 'contain', 'much', 'ink', 'regular', 'cartridge', 'However', 'I', 'ordered', 'replacements', 'directly', 'Epson', 'quickly', 'ran', 'example', 'XL', 'black', 'cartridge', 'I', 'think', 'ink', 'must', 'evaporate', 'way', 'explain', 'unless', 'cartridges', 'dont', 'hold', 'much', 'ink', 'If', 'one', 'cartridge', 'runs', 'dry', 'printer', 'wont', 'operate', 'The', 'cartridges', 'expensive', 'I', 'spent', 'much', 'ink', 'cartridges', 'I', 'paid', 'printer', 'It', 'another', 'scam', 'like', 'razor', 'blades', 'Once', 'purchase', 'product', 'make', 'sure', 'use', 'refills', 'charge', 'inflated', 'price', 'Thats', 'make', 'money']"
5,These lasers are among the best I have used Theyre nothing like those cheap flea market button cell lasers Oh dont shine them in anyones eyes especially the blue one I felt heat coming off that one The green one is the brightest of the and great for pointing at stars on a clear night Instead of using your finger which is not very accurate the green one can point accurately at a star so people around you can see what youre looking at The blue one is more of a blacklight laser It shines very brightly when hitting white material I measured the core temperature of the blue one which was around degrees Fahrenheit inside the diode The red laser is much brighter than even the dollar ones at OfficeMax All these lasers dont suffer from the dreaded dieout effect I get a constant steady power stream from start to finish Although the product says it doesnt come with AAA batteries It does just two however These batteries are offbrand they died out quickly but for batteries that I wasnt supposed to get they were pretty good Build quality is superb The body is a black soft touch paint and everything else is a nice strong metal Overall a very nice product and great deal,1,"['These', 'lasers', 'among', 'best', 'I', 'used', 'Theyre', 'nothing', 'like', 'cheap', 'flea', 'market', 'button', 'cell', 'lasers', 'Oh', 'dont', 'shine', 'anyones', 'eyes', 'especially', 'blue', 'one', 'I', 'felt', 'heat', 'coming', 'one', 'The', 'green', 'one', 'brightest', 'great', 'pointing', 'stars', 'clear', 'night', 'Instead', 'using', 'finger', 'accurate', 'green', 'one', 'point', 'accurately', 'star', 'people', 'around', 'see', 'youre', 'looking', 'The', 'blue', 'one', 'blacklight', 'laser', 'It', 'shines', 'brightly', 'hitting', 'white', 'material', 'I', 'measured', 'core', 'temperature', 'blue', 'one', 'around', 'degrees', 'Fahrenheit', 'inside', 'diode', 'The', 'red', 'laser', 'much', 'brighter', 'even', 'dollar', 'ones', 'OfficeMax', 'All', 'lasers', 'dont', 'suffer', 'dreaded', 'dieout', 'effect', 'I', 'get', 'constant', 'steady', 'power', 'stream', 'start', 'finish', 'Although', 'product', 'says', 'doesnt', 'come', 'AAA', 'batteries', 'It', 'two', 'however', 'These', 'batteries', 'offbrand', 'died', 'quickly', 'batteries', 'I', 'wasnt', 'supposed', 'get', 'pretty', 'good', 'Build', 'quality', 'superb', 'The', 'body', 'black', 'soft', 'touch', 'paint', 'everything', 'else', 'nice', 'strong', 'metal', 'Overall', 'nice', 'product', 'great', 'deal']"
5,Have been using these ink cartridges for over yrs with no problems and excellent print quality I am very pleased with the product,1,"['Have', 'using', 'ink', 'cartridges', 'yrs', 'problems', 'excellent', 'print', 'quality', 'I', 'pleased', 'product']"
1,One handset would not charge the battery even with new rechargeable batteries Wasted money because I purchased new batteries for all four handsets I am very surprised that Amazon would sell this product without checking it thoroughly,0,"['One', 'handset', 'would', 'charge', 'battery', 'even', 'new', 'rechargeable', 'batteries', 'Wasted', 'money', 'I', 'purchased', 'new', 'batteries', 'four', 'handsets', 'I', 'surprised', 'Amazon', 'would', 'sell', 'product', 'without', 'checking', 'thoroughly']"
5,Sturdy,1,['Sturdy']
5,It is label tape and it works in my label maker,1,"['It', 'label', 'tape', 'works', 'label', 'maker']"
5,Looked brand new and shipping was prompt,1,"['Looked', 'brand', 'new', 'shipping', 'prompt']"
5,They work great,1,"['They', 'work', 'great']"
1,This ink is horrible it dont even come out in color,0,"['This', 'ink', 'horrible', 'dont', 'even', 'come', 'color']"
2,I really do not like the idea that they do not cover the first year which is covered by the manufacturers warranty We all know that manufacturers warranties are myths Did any of you ever had a manufacturer simply giving you a new phone for free just because your phone broke within the first year and if yes how many hours did you spend on that The idea of buying a protection plan is not to need to deal with all this crap and just get a new phone if phone does not work I am not sitting and arguing now with Panasonic for an hour time is money,0,"['I', 'really', 'like', 'idea', 'cover', 'first', 'year', 'covered', 'manufacturers', 'warranty', 'We', 'know', 'manufacturers', 'warranties', 'myths', 'Did', 'ever', 'manufacturer', 'simply', 'giving', 'new', 'phone', 'free', 'phone', 'broke', 'within', 'first', 'year', 'yes', 'many', 'hours', 'spend', 'The', 'idea', 'buying', 'protection', 'plan', 'need', 'deal', 'crap', 'get', 'new', 'phone', 'phone', 'work', 'I', 'sitting', 'arguing', 'Panasonic', 'hour', 'time', 'money']"
5,I needed the ink fast it got here fast and the ink is great quality I would reccommend it to anyone,1,"['I', 'needed', 'ink', 'fast', 'got', 'fast', 'ink', 'great', 'quality', 'I', 'would', 'reccommend', 'anyone']"
2,The wallet is good quality but fr a badge with pin is useless because the badge I get is a pin badge so I a can not used ths nice wallet thanks,0,"['The', 'wallet', 'good', 'quality', 'fr', 'badge', 'pin', 'useless', 'badge', 'I', 'get', 'pin', 'badge', 'I', 'used', 'ths', 'nice', 'wallet', 'thanks']"
2,I bought these in November and they started out working great I got a fair amount of printing out of them but definitely not my moneys worth before they stopped working My printer refuses to recognize them now so they are worthless,0,"['I', 'bought', 'November', 'started', 'working', 'great', 'I', 'got', 'fair', 'amount', 'printing', 'definitely', 'moneys', 'worth', 'stopped', 'working', 'My', 'printer', 'refuses', 'recognize', 'worthless']"
3,Now a few of them do not ring and have had some glitches A bit disappointed Would not order this phone again,0,"['Now', 'ring', 'glitches', 'A', 'bit', 'disappointed', 'Would', 'order', 'phone']"
2,Telephones interfere too much with other electronic devices in the home Constant static on phones Would not recommend there phones and definitely would not purchase another ATT product,0,"['Telephones', 'interfere', 'much', 'electronic', 'devices', 'home', 'Constant', 'static', 'phones', 'Would', 'recommend', 'phones', 'definitely', 'would', 'purchase', 'another', 'ATT', 'product']"
5,Every year I have several events that are and older wine tasting Oktoberfest we are always looking at ways to streamline the process of checking ids making it easier on our volunteers The wrist bands worked extremely well was easier knowing who was able to drink legallyIf you have a day event get different colors That way you know who needs to pay,1,"['Every', 'year', 'I', 'several', 'events', 'older', 'wine', 'tasting', 'Oktoberfest', 'always', 'looking', 'ways', 'streamline', 'process', 'checking', 'ids', 'making', 'easier', 'volunteers', 'The', 'wrist', 'bands', 'worked', 'extremely', 'well', 'easier', 'knowing', 'able', 'drink', 'legallyIf', 'day', 'event', 'get', 'different', 'colors', 'That', 'way', 'know', 'needs', 'pay']"
2,These cartridges worked well initially but once about pages had been printed with each one they one by one started to leave streaks on the pages We replaced one at a time with genuine cartridges and all streaking stopped Unfortunately well be buying HP toner from now on and we have learned our lesson with this purchase,0,"['These', 'cartridges', 'worked', 'well', 'initially', 'pages', 'printed', 'one', 'one', 'one', 'started', 'leave', 'streaks', 'pages', 'We', 'replaced', 'one', 'time', 'genuine', 'cartridges', 'streaking', 'stopped', 'Unfortunately', 'well', 'buying', 'HP', 'toner', 'learned', 'lesson', 'purchase']"
1,When I put them in my printer I got an error message telling me they were not compatible even though they advertized that they would work,0,"['When', 'I', 'put', 'printer', 'I', 'got', 'error', 'message', 'telling', 'compatible', 'even', 'though', 'advertized', 'would', 'work']"
